['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
74.0 , 3299.48717949 , 3892.30769231 , 4125.12820513 , 3783.07692308 , 4620.0 , 4073.84615385 , 4472.30769231 , 4312.82051282 , 4281.02564103 , 4328.71794872 , 4195.8974359 , 4068.20512821 , 3505.12820513 , 3716.41025641 , 1686.0 , 1671.0 , 2.974 , 0.0 , 0.0 , 0.0 , 0.0 , 

75.0 , 3311.79487179 , 3892.82051282 , 4129.23076923 , 3782.56410256 , 4610.25641026 , 4073.84615385 , 4472.30769231 , 4320.0 , 4288.71794872 , 4343.07692308 , 4202.05128205 , 4069.74358974 , 3522.05128205 , 3729.74358974 , 1686.0 , 1671.0 , 2.977 , 0.0 , 0.0 , 0.0 , 0.0 , 

76.0 , 3313.84615385 , 3893.33333333 , 4129.23076923 , 3778.46153846 , 4613.33333333 , 4075.38461538 , 4472.30769231 , 4320.51282051 , 4286.66666667 , 4355.8974359 , 4213.33333333 , 4074.87179487 , 3527.17948718 , 3741.53846154 , 1686.0 , 1672.0 , 2.985 , 0.0 , 0.0 , 0.0 , 0.0 , 

77.0 , 3303.07692308 , 3884.61538462 , 4129.74358974 , 3775.38461538 , 4615.38461538 , 4073.33333333 , 4472.30769231 , 4316.92307692 , 4286.15384615 , 4354.87179487 , 4216.41025641 , 4075.8974359 , 3521.02564103 , 3734.87179487 , 1686.0 , 1670.0 , 3.006 , 0.0 , 0.0 , 0.0 , 0.0 , 

78.0 , 3297.94871795 , 3878.97435897 , 4133.33333333 , 3776.41025641 , 4604.1025641 , 4075.8974359 , 4472.30769231 , 4320.51282051 , 4290.25641026 , 4357.43589744 , 4216.92307692 , 4071.79487179 , 3523.07692308 , 3737.43589744 , 1685.0 , 1670.0 , 3.006 , 0.0 , 0.0 , 0.0 , 0.0 , 

79.0 , 3307.69230769 , 3885.64102564 , 4134.87179487 , 3776.41025641 , 4594.35897436 , 4087.69230769 , 4472.30769231 , 4324.1025641 , 4293.84615385 , 4355.38461538 , 4220.0 , 4071.28205128 , 3526.15384615 , 3750.25641026 , 1686.0 , 1669.0 , 3.009 , 0.0 , 0.0 , 0.0 , 0.0 , 

80.0 , 3315.8974359 , 3895.8974359 , 4136.41025641 , 3777.94871795 , 4604.1025641 , 4093.33333333 , 4472.30769231 , 4325.64102564 , 4296.41025641 , 4350.25641026 , 4225.64102564 , 4080.0 , 3532.82051282 , 3753.33333333 , 1685.0 , 1669.0 , 3.016 , 0.0 , 0.0 , 0.0 , 0.0 , 

81.0 , 3318.46153846 , 3905.12820513 , 4141.53846154 , 3784.1025641 , 4619.48717949 , 4093.84615385 , 4472.30769231 , 4332.82051282 , 4296.92307692 , 4365.64102564 , 4234.87179487 , 4088.20512821 , 3547.17948718 , 3757.94871795 , 1686.0 , 1669.0 , 3.041 , 0.0 , 0.0 , 0.0 , 0.0 , 

82.0 , 3318.46153846 , 3906.66666667 , 4142.05128205 , 3786.66666667 , 4618.97435897 , 4100.51282051 , 4472.30769231 , 4335.38461538 , 4297.43589744 , 4375.8974359 , 4242.05128205 , 4085.64102564 , 3552.82051282 , 3764.61538462 , 1687.0 , 1667.0 , 3.041 , 0.0 , 0.0 , 0.0 , 0.0 , 

83.0 , 3312.30769231 , 3895.8974359 , 4138.46153846 , 3780.51282051 , 4613.84615385 , 4101.53846154 , 4472.30769231 , 4326.66666667 , 4296.92307692 , 4355.8974359 , 4231.79487179 , 4077.43589744 , 3534.87179487 , 3752.82051282 , 1687.0 , 1668.0 , 3.041 , 0.0 , 0.0 , 0.0 , 0.0 , 

84.0 , 3307.69230769 , 3891.79487179 , 4138.46153846 , 3776.41025641 , 4624.61538462 , 4098.97435897 , 4472.30769231 , 4323.58974359 , 4288.71794872 , 4338.97435897 , 4220.51282051 , 4074.87179487 , 3526.66666667 , 3742.05128205 , 1689.0 , 1668.0 , 3.047 , 0.0 , 0.0 , 0.0 , 0.0 , 

85.0 , 3310.76923077 , 3895.38461538 , 4137.43589744 , 3774.87179487 , 4635.38461538 , 4105.64102564 , 4472.30769231 , 4327.17948718 , 4280.51282051 , 4342.56410256 , 4226.66666667 , 4077.43589744 , 3540.0 , 3753.33333333 , 1689.0 , 1669.0 , 3.072 , 0.0 , 0.0 , 0.0 , 0.0 , 

86.0 , 3312.82051282 , 3891.28205128 , 4135.8974359 , 3775.38461538 , 4618.46153846 , 4104.61538462 , 4472.30769231 , 4321.02564103 , 4281.02564103 , 4348.20512821 , 4233.33333333 , 4077.94871795 , 3546.15384615 , 3764.61538462 , 1691.0 , 1670.0 , 3.072 , 0.0 , 0.0 , 0.0 , 0.0 , 

